 	Loπi h◊nh NPC	NgÚ hµnh phﬂng ng˘	NgÚ hµnh t n c´ng	Sinh l˘c	TËc ÆÈ di chuy”n 	ThÍi gian phÙc hÂi (sË li÷u)	Duy tr◊ thÍi gian n– tr∏nh (sË li÷u)	Duy tr◊ thÍi gian phﬂng ng˘ (sË li÷u)	ThÍi gian phÙc hÂi (sË li÷u)	NpcResType	Œ‰∆˜◊ ‘¥√˚≥∆	√¸÷–÷µ	Ch› mπng (kh´ng t∏c dÙng) 	N– tr∏nh 	T®ng t n c´ng vÀt l˝	T®ng NÈi c´ng 	Linh hoπt (kh´ng t∏c dÙng) 	Phﬂng thÒ vÀt l˝	Phﬂng ng˘ vÀt l˝ 100%	Phﬂng thÒ nÈi c´ng	NÈi phﬂng 100%	Phπm vi	Loπi AI	Kho∂ng c∏ch thÍi gian xˆ l˝ AI (sË li÷u)	SË hi÷u k¸ n®ng (1)	ßºng c p k¸ n®ng (1)	X∏c xu t k¸ n®ng (1)	X∏c xu t k¸ n®ng (2)	ßºng c p k¸ n®ng (2)	X∏c xu t k¸ n®ng (2)	SË hi÷u k¸ n®ng (3)	ßºng c p k¸ n®ng (3)	X∏c xu t k¸ n®ng (3)	SË hi÷u k¸ n®ng (4)	ßºng c p k¸ n®ng (4)	X∏c xu t k¸ n®ng (4)	Thi’t lÀp file vÀt r¨i	SË l≠Óng vÀt r¨i	C p	Trﬁ kinh nghi÷m 1	Trﬁ kinh nghi÷m 2	ThÍi gian mÁi c´ng k›ch th≠Íng 	Boss?	Chuy”n ÆÈng khi ÆËi thoπi kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	C„ hÂi m∏u kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	BossCfg	M∆c Æﬁnh script ÆËi thoπi ho∆c script tr‰ng th≠¨ng	Bπo k›ch	Bπo th≠¨ng	ChËng bπo k›ch	ChËng bπo th≠¨ng	InitScript
Ng©n HÂ V≠¨ng	6	0	0	45830	8	0	10	10	259200	“¯∫¸	ø’ ÷	1200	100	110	280;504	280;504	10	15	40	20	50	300	5	9	701	2	50	702	2	50									45	1990	1990	46	1									
Th≠¨ng Vi™n V≠¨ng	0	0	0	45830	8	17	10	10	259200	≤‘‘≥	ø’ ÷	1200	100	110	280;504	280;504	10	15	40	20	50	300	5	9	701	2	50	702	2	50									45	1990	1990	46	1									
ßÊng Minh H∏n	6									Œ˜ƒœ√Á»À																																										
V‚ L©m Minh Phπm T˚	6				0				720	Œ‰µ± ◊œØΩø–°≈Æ																																										
Phπm Th≠	6				0				720	Œ‰µ± ◊œØΩø–°≈Æ																																										
L˝ Nguy™n HÛc	6				0				720	Õ”¬ﬁƒ·…Æ																																										
T∏n PhÊ Kham BË	6				0				720	¿Ó‘™–Ò																																										
ßoµn B›ch	6				0				720	’≈‘Ò∂À																																										
V‚ S‹ Minh M´n	0	0	0	20000000	12	17	10	10	720	Ω£øÒ	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	1000	5	9	653	20	99	703	2	1								1	99	1100	1100	18	2									
HÈ V÷ Thi™n Long T˘	0	0	0	20000000	12	17	10	10	720	ÀŒµ∂±¯	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	1000	5	9	653	20	99	703	2	1								1	99	1100	1100	18	2									
HÈ V÷ H„a Sinh T˘	0	0	0	20000000	12	17	10	10	720	≈Æ∫¸œ…	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	1000	5	9	653	20	99	703	2	1								1	99	1100	1100	18	2									
NhÀt Æµn hÈ ph∏p	0	0	0	24000	12	17	10	10	720	∫Ï∆Ï¥ÃøÕ	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50							\settings\droprate\npcdropratesanguo01.ini	1	85	1100	1100	18	0									
Nguy÷t ßµn HÈ Ph∏p	0	0	0	24000	12	17	10	10	720	∫⁄∆Ï¥ÃøÕ	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50							\settings\droprate\npcdropratesanguo01.ini	1	85	1100	1100	18	0									
Tinh ßµn HÈ Ph∏p	0	0	0	24000	12	17	10	10	720	¿∂∆Ï¥ÃøÕ	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50							\settings\droprate\npcdropratesanguo01.ini	1	85	1100	1100	18	0									
Th«n ßµn HÈ Ph∏p	0	0	0	24000	12	17	10	10	720	∞◊∆Ï¥ÃøÕ	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50							\settings\droprate\npcdropratesanguo01.ini	1	85	1100	1100	18	0									
L≠u Vong ∏c ßÂ	0	0	0	24000	12	17	10	10	720	±±¬Ã¡÷…Ω‘Ù	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50							\settings\droprate\npcdropratesanguo01.ini	1	85	1100	1100	18	0									
Giang HÂ Ti™u Ti”u	0	0	0	24000	12	17	10	10	720	±±¬Ã¡÷…Ω¥ÛÕı	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50							\settings\droprate\npcdropratesanguo01.ini	1	85	1100	1100	18	0									
Nhai Th≠Óng S¨n T∆c	0	0	0	24000	12	17	10	10	720	…Ω‘Ù	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50							\settings\droprate\npcdropratesanguo01.ini	1	85	1100	1100	18	0									
Hoa T´ng M´n Nh©n	0	0	0	24000	12	17	10	10	720	‘¶∂æ“ıºß	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50							\settings\droprate\npcdropratesanguo01.ini	1	85	1100	1100	18	0									
LÙc Phi’n M´n Tinh Anh BÈ kho∏i	6									Íµ◊”µ§																																										
jinre_biaoshi	6									…Ω◊ØΩÃÕ∑30																																										
ThÒ KhË Th≠¨ng HÈi	6									À’È¯																																										
LÙc Phi’n M´n C¨ quan Æµi	6									’Úƒπ÷˘																																										
¶ng TrÙ	6									≈Ã¡˙÷˘																													90													
Long TrÙ	6									≈Ã¡˙÷˘																													90													
Ph≠Óng TrÙ	6									≈Ã¡˙÷˘																													90													
HÊ TrÙ	6									≈Ã¡˙÷˘																													90													
Vπn Ki’m NhÀm Doanh Doanh	6	0	0	200000000	14	7	5	5	259200	»Œ”Ø”Ø		4000	100	500	1000;2000	1000;2000	10	500	50	500	50	1000	5	18	702	2	70	1590	2	15	1591	2	15						80			9	2							36	120	\settings\static_script\npc\init\tzwj_fm.lua
Vπn Ki’m NhÀm Ng∑ Hµnh	6	0	0	200000000	14	7	5	5	259200	∫Ï”°ΩÃ÷˜		4000	100	500	1000;2000	1000;2000	10	500	50	500	50	1000	5	18	702	2	70	1592	2	15	1593	2	15	635	20	100			80			9	2							36	120	\settings\static_script\npc\init\tzwj_fm.lua
Vπn Ki’m Giang Bi÷t Hπc	6	0	0	200000000	8	7	5	5	259200	Ω£…∑		3000	100	0	1000;2000	1000;2000	10	150	30	200	35	1000	5	18	1604	1	100												80			9	2							36	120	\settings\static_script\npc\init\tzwj_fm.lua
Vπn Ki’m Binh M∑ DÚng	0	0	0	648000	14	7	5	5	259200	≥÷∏Í±¯¬ÌŸ∏		3000	100	0	2400;3600	2880;4320	10	300	0	200	35	1000	5	18	1605	2	85	1606	2	15	635	10	0						80			9	1							36	120	\settings\static_script\npc\init\3FBNPC.lua
Vπn Ki’m Binh M∑ DÚng Xπ ThÒ	0	0	0	518400	14	7	5	5	259200	≥÷π≠±¯¬ÌŸ∏		3000	100	0	2400;3600	2880;4320	10	300	0	200	35	1000	5	18	1607	2	80	1608	2	20	635	10	0						80			9	1							36	120	\settings\static_script\npc\init\3FBNPC.lua
Vπn Ki’m Binh M∑ Phu Tr≠Îng	0	0	0	777600	14	7	5	5	259200	≥÷Ω£±¯¬ÌŸ∏		3000	100	0	2400;3600	2880;4320	10	300	0	200	35	1000	5	18	610	11	90	623	1	10	635	20	0						80			9	1			\settings\npc\boss_setting\ÃÏ“ıΩÃ»º—◊…± ÷.ini				36	120	\settings\static_script\npc\init\3FBNPC.lua
Vπn Ki’m Binh M∑ ThËng L‹nh	0	0	0	8640000	20	7	5	5	259200	ÕÚΩ£±¯¬ÌŸ∏Õ≥¡Ï		3000	100	0	3600;5000	4320;6000	10	300	0	200	35	1000	5	18	610	11	70	1606	3	15	648	5	15	1336	12	0			80			9	2							36	120	\settings\static_script\npc\init\3FBNPC.lua
Vπn Ki’m ThËng L‹nh ph©n th©n	0	0	0	2592000	20	7	5	5	259200	ÕÚΩ£±¯¬ÌŸ∏Õ≥¡Ï		3000	100	0	3600;5000	4320;6000	10	300	0	200	35	1000	5	18	610	11	50	1606	3	25	648	10	25	1336	12	0			80			9	2							36	120	\settings\static_script\npc\init\3FBNPC.lua
Vπn Ki’m Ma Ki’m N´	0	0	0	12960000	7	7	5	5	259200	ÕÚΩ£ƒßΩ£≈´		3000	100	0	4000;5000	4800;6000	10	300	0	200	35	1000	5	18	1629	3	70	1630	2	20	643	1	10	1336	12	0			80			9	2							36	120	\settings\static_script\npc\init\3FBNPC.lua
Ki’m Ma Giang Bi÷t Hπc	0	0	0	432000000	0	7	5	5	259200	Ω£…∑		3000	100	0	800;1200	960;1440	10	999	99	999	99	1000	5	18	701	2	80	1625	2	20	1626	2	0	1336	12	0			80			9	2							36	120	\settings\static_script\npc\init\3FBNPC.lua
Th´ng Thi™n NhÀm Doanh Doanh	6	0	0	200000000	14	7	5	5	259200	»Œ”Ø”Ø		4000	100	500	2000;4000	2000;4000	10	500	50	500	50	1000	5	18	702	2	70	1590	2	15	1591	2	15						80			9	2									
Th´ng Thi™n H≠Ìng V n Thi™n	6	0	0	200000000	14	7	5	5	259200	¿Ó‘™–Ò		4000	100	500	2000;4000	2000;4000	10	500	50	500	50	1000	5	18	702	2	70	1592	2	15	1593	2	15						80			9	2									
NhÀt Nguy÷t gi∏o ÆÂ xanh	0	0	0	200000	14	7	5	5	259200	¿∂∆Ï¥ÃøÕ		4000	100	500	1500;2500	1500;2500	10	200	25	200	25	1000	5	18	701	2	100												80			9	0									
NhÀt Nguy÷t gi∏o ÆÂ vµng	0	0	0	200000	14	7	5	5	259200	ª∆∆Ï¥ÃøÕ		4000	100	500	1500;2500	1500;2500	10	200	25	200	25	1000	5	18	701	2	100												80			9	0									
NhÀt Nguy÷t gi∏o ÆÂ Æ·	0	0	0	200000	14	7	5	5	259200	∫Ï∆Ï¥ÃøÕ		4000	100	500	1500;2500	1500;2500	10	200	25	200	25	1000	5	18	701	2	100												80			9	0									
NhÀt Nguy÷t gi∏o ÆÂ træng	0	0	0	200000	14	7	5	5	259200	∞◊∆Ï¥ÃøÕ		4000	100	500	1500;2500	1500;2500	10	200	25	200	25	1000	5	18	701	2	100												80			9	0									
NhÀt Nguy÷t gi∏o ÆÂ Æen	0	0	0	200000	14	7	5	5	259200	∫⁄∆Ï¥ÃøÕ		4000	100	500	1500;2500	1500;2500	10	200	25	200	25	1000	5	18	701	2	100												80			9	0									
Th´ng Thi™n Tˆ V÷	0	1	1	500000	14	7	5	5	259200	˜º˜√µ∂ ÷		4000	100	500	3000;3000	3000;3000	10	500	50	0	0	1000	5	18	701	2	80	610	11	20									80			9	1									
Th´ng Thi™n Ma V÷	0	4	4	1000000	20	7	5	5	259200	¿˜πÌ		4000	100	500	3000;6000	3000;6000	10	500	50	0	0	1000	5	18	701	2	80	610	11	20									80			9	1									
Th´ng Thi™n Huy’t NhÙc KhÊi LÁi	0	5	5	130000	5	7	5	5	259200	≥÷∏Í±¯¬ÌŸ∏		4000	100	500	2000;4000	2000;4000	10	0	0	0	0	1000	5	18															80			18	1									
Th´ng Thi™n Huy’t Ma KhÊi LÁi	0	5	5	500000	20	7	5	5	259200	ª√Œ‰«π’ﬂ		4000	100	500	2000;3000	2000;3000	10	100	40	500	60	1000	5	18	701	2	80	610	11	20	1336	19	100						80			18	1									
Th´ng Thi™n L∑o TÊ 7A	6	0	0	200000000	0	7	5	5	259200	Õ®ÃÏ¿œ◊Ê		4000	100	500	3000;9000	3000;9000	10	999	99	999	99	1000	5	18	1596	2	40	1597	2	30	1598	6	30	1336	12	0			80			9	2									
Th´ng Thi™n NhÀm Ng∑ Hµnh A	6	2	2	6600000	20	7	5	5	259200	Õ®ÃÏ¿œ◊Ê		4000	100	500	3000;5000	3000;5000	10	300	40	999	50	1000	5	18	701	2	50	1588	4	25	1589	2	25	1336	12	0			80			9	2									
Th´ng Thi™n L∑o TÊ 7B	6	0	0	10000000	20	7	5	5	259200	Õ®ÃÏ¿œ◊Ê		4000	100	500	3000;9000	3000;9000	10	0	20	200	30	1000	5	18	1596	2	40	1597	2	30	1598	6	30	1336	12	0			80			9	2									
Th´ng Thi™n NhÀm Ng∑ Hµnh B	6	0	0	200000000	14	7	5	5	259200	∫Ï”°ΩÃ÷˜		4000	100	500	3000;9000	3000;9000	10	0	20	200	30	1000	5	18	1596	2	40	1597	2	30	1598	6	30	1336	12	0			80			9	2									
ßËi thoπi vÌi Giang Bi÷t Hπc	6									Ω£…∑																																		0								
ßËi thoπi vÌi Trung ¶ng	6									÷–”•																																		0								
ßËi thoπi vÌi Trung Long	6									÷–¡˙																																		0								
ßËi thoπi Trung Ph≠Óng	6									÷–∑Ô																																		0								
ßËi thoπi Trung HÊ	6									÷–ª¢																																		0								
Th«n gi∏o Hæc TÊng Qu∂n	6									π‹º“																																		0								
Thanh Long	0	1	1	80000	14	0	0	0	604800	÷–¡˙	ø’ ÷	1200	100	82	1092;1208	1092;1208	0	0	0	0	0	3000	5	18	30055	2	70	30062	12	15	30064	7	13	30066	10	2			95			18	2									
Th≠¨ng ¶ng	0	2	2	88000	14	0	0	0	604800	÷–”•	ø’ ÷	1200	100	82	950;1050	950;1050	0	0	0	0	0	3000	5	18	30055	2	70	30068	1	15	30070	7	13	30072	5	2			95			18	2									
H∏m S¨n Æπi v≠¨ng	0	0	0	90000	8	9	10	10	604800	‘˜∂Ò	ø’ ÷	1170	100	120	1800;2250	1800;2250	10	120	48	24	30	300	5	9	701	1	80	610	1	20									60	534	534	26	1									
pozhenlong	0	1	1	96000	5	0	0	0	604800	÷–¡˙	ø’ ÷	1200	100	82	1092;1208	1092;1208	0	0	0	0	0	3000	5	18	30055	2	70	30062	12	15	30064	7	13	30066	10	2			95			18	2									
pozhenying	0	2	2	96000	5	0	0	0	604800	÷–”•	ø’ ÷	1200	100	82	950;1050	950;1050	0	0	0	0	0	3000	5	18	30055	2	70	30068	1	15	30070	7	13	30072	5	2			95			18	2									
pozhenfeng	0	4	4	96000	7	0	0	0	604800	÷–∑Ô	ø’ ÷	1200	100	82	1045;1155	1045;1155	0	0	0	0	0	3000	5	18	30055	2	70	30074	10	15	30076	3	13	30078	10	2			95			18	2									
pozhenhu	0	5	5	100800	7	0	0	0	604800	÷–ª¢	ø’ ÷	1200	100	82	950;1050	950;1050	0	0	10	0	10	3000	5	18	30055	2	70	30080	11	15	30082	3	13	30084	10	2			95			18	2									
lvfang	0	0	0	300000	20	20	5	10	72000	±¯¬ÌŸ∏¡Ïæ¸	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
guoshen	0	0	0	300000	20	20	5	10	72000	±¯¬ÌŸ∏¡Ïæ¸	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
maxuanzhan	0	0	0	300000	20	20	5	10	72000	π˜∑À	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
kongming	0	0	0	300000	20	20	5	10	72000	√˜ΩÃƒ–µ‹◊”1	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
kongliang	0	0	0	300000	20	20	5	10	72000	√˜ΩÃƒ–µ‹◊”1	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
xuanzhan	0	0	0	300000	20	20	5	10	72000	π˜∑À	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
haosiwen	0	0	0	300000	20	20	5	10	72000	π˜∑À	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
xueyong	0	0	0	300000	20	20	5	10	72000	«πøÒ	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
sien	0	0	0	300000	20	20	5	10	72000	«πøÒ	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
dantinggui	0	0	0	300000	20	20	5	10	72000	±¯¬ÌŸ∏¡Ïæ¸	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
weidingguo	0	0	0	300000	20	20	5	10	72000	±¯¬ÌŸ∏¡Ïæ¸	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
zhuwu	0	0	0	300000	20	20	5	10	72000	∫⁄≈€ π’ﬂ1	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	634	2	100												85			18	2									
chisunli	0	0	0	300000	20	20	5	10	72000	∫⁄≈€ π’ﬂ1	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	2									
hantao	0	0	0	200000	20	20	5	10	72000	ÃÏ±¯1	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
pengji	0	0	0	200000	20	20	5	10	72000	ÃÏ±¯1	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
linchong	0	0	0	16000000	20	20	5	10	72000	±™◊”Õ∑¡÷≥Â	ø’ ÷	2000	100	30	3200;4400	3200;4400	10	150	30	150	30	1200	5	9	1397	1	15	1398	1	15	1399	1	70	1336	12	100		2	85			18	2			\settings\npc\boss_setting\¡∫…ΩBoss.ini						
oupeng	0	0	0	200000	20	20	5	10	72000	«πøÒ	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
dengfei	0	0	0	200000	20	20	5	10	72000	«πøÒ	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
luzhishen	0	0	0	16000000	20	20	5	10	72000	ª®∫Õ…–¬≥÷«…Ó	ø’ ÷	2000	100	30	3600;5000	3600;5000	10	150	30	150	30	1200	5	9	703	2	70	1408	1	15	1409	1	15	1336	12	100		2	85			18	2			\settings\npc\boss_setting\¡∫…ΩBoss.ini						
xiezhen	0	0	0	200000	20	20	5	10	72000	≥÷≤Ê¡‘ªß	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
xiebao	0	0	0	200000	20	20	5	10	72000	≥÷≤Ê¡‘ªß	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
likui	0	0	0	16000000	20	20	5	10	72000	¿ÓÂ”	ø’ ÷	2000	100	30	4400;6000	4400;6000	10	150	30	150	30	1200	5	9	1402	1	15	610	20	70	622	3	15	1336	12	100		2	85			18	2			\settings\npc\boss_setting\¡∫…ΩBoss.ini						
duqian	0	0	0	200000	20	20	5	10	72000	√ßø‹	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
zhouyuan	0	0	0	200000	20	20	5	10	72000	√ßø‹	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
fanlve	0	0	0	200000	20	20	5	10	72000	«π∑À	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
baoxu	0	0	0	200000	20	20	5	10	72000	«π∑À	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
yangxiong	0	0	0	16000000	20	20	5	10	72000	≤°πÿÀ˜—Ó–€	ø’ ÷	2000	100	30	4400;6000	4400;6000	10	150	30	150	30	1200	5	9	701	4	60	622	4	25	683	2	15	1336	12	100		2	85			18	2			\settings\npc\boss_setting\¡∫…ΩBoss.ini						
muchun	0	0	0	200000	20	20	5	10	72000	Ω£…∑	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
lizhong	0	0	0	200000	20	20	5	10	72000	Ω£…∑	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
shixiu	0	0	0	16000000	20	20	5	10	72000	ﬁ’√¸»˝¿… Ø–„	ø’ ÷	2000	100	30	4400;6000	4400;6000	10	150	30	150	30	1200	5	9	701	4	60	622	4	25	685	2	15	1336	12	100		2	85			18	2			\settings\npc\boss_setting\¡∫…ΩBoss.ini						
zhourun	0	0	0	200000	20	20	5	10	72000	√˜ΩÃƒ–µ‹◊”2	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
longwang	0	0	0	200000	20	20	5	10	72000	√˜ΩÃƒ–µ‹◊”2	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
husanliang	0	0	0	16000000	20	20	5	10	72000	“ª’…«‡ÏË»˝ƒÔ	ø’ ÷	2000	100	30	2400;3600	2400;3600	10	150	30	150	30	1200	5	9	1411	1	15	1412	1	15	1413	1	70	1336	12	100		2	85			18	2			\settings\npc\boss_setting\¡∫…ΩBoss.ini						
wangyin	0	0	0	200000	20	20	5	10	72000	πÿÕ‚∏ﬂ ÷	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
andaoquan	0	0	0	200000	20	20	5	10	72000	πÿÕ‚∏ﬂ ÷	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	634	2	100												85			18	1									
chenda	0	0	0	200000	20	20	5	10	72000	¥ÃøÕ1	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
yangchun	0	0	0	200000	20	20	5	10	72000	¥ÃøÕ1	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
xiangyun	0	0	0	200000	20	20	5	10	72000	¥ÃøÕ2	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
ligun	0	0	0	200000	20	20	5	10	72000	¥ÃøÕ2	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
yanglin	0	0	0	200000	20	20	5	10	72000	«π…∑	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
zhoutong	0	0	0	200000	20	20	5	10	72000	«π…∑	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
minghuoguiling	0	0	0	200000	20	17	10	10	900	…œπ≈ª˜Ë˜Î	ø’ ÷	2000	100	30	800;1000	800;1000	10	100	20	100	20	1200	5	9	624	2	100												85			18	1									
aoyunshenghuotai	6									 •ªÃ®																																		0								
QxLanGuai_1	0	0	0	1500000	10	17	10	10	604800	∑¨“ƒÔ⁄ ÷	ø’ ÷	4000	100	100	500;1500	500;1500			10		10	300	5	9	30147	2	50	30135	1	30	815	1	20						80			21	1							500	1000	\settings\static_script\npc\init\qxt_fm.lua
QxLanGuai_2	0	0	0	1500000	10	17	10	10	604800	√˜ΩÃ≈Æµ‹◊”1	ø’ ÷	4000	100	100	500;1500	500;1500			10		10	300	5	9	701	2	50	807	1	30	826	1	20						80			21	1							500	1000	\settings\static_script\npc\init\qxt_fm.lua
QxLanGuai_3	0	0	0	1500000	10	17	10	10	604800	Ÿ¡ø‹3	ø’ ÷	4000	100	100	500;1500	500;1500			10		10	300	5	9	705	2	50	30143	3	30	30144	4	20						80			21	1							500	1000	\settings\static_script\npc\init\qxt_fm.lua
QxLanGuai_4	0	0	0	1500000	10	17	10	10	604800	¥ÃøÕ2	ø’ ÷	4000	100	100	500;1500	500;1500			10		10	300	5	9	30147	2	50	30135	1	30	812	2	20						80			21	1							500	1000	\settings\static_script\npc\init\qxt_fm.lua
QxLanGuai_5	0	0	0	1800000	10	17	10	10	604800	√˜ΩÃƒ–µ‹◊”1	ø’ ÷	4000	100	100	1000;2000	1000;2000			30		30	300	5	9	701	2	50	30136	2	30	30137	2	20						80			21	1							500	1000	\settings\static_script\npc\init\qxt_fm.lua
QxLanGuai_6	0	0	0	1800000	10	17	10	10	604800	√˜ΩÃ≈Æµ‹◊”2	ø’ ÷	4000	100	100	1000;2000	1000;2000			30		30	300	5	9	701	2	50	30136	2	30	30137	2	20						80			21	1							500	1000	\settings\static_script\npc\init\qxt_fm.lua
QxLanGuai_7	0	0	0	1800000	10	17	10	10	604800	√˜ΩÃƒ–µ‹◊”2	ø’ ÷	4000	100	100	1000;2000	1000;2000			20		20	300	5	9	701	2	50	819	1	30	821	1	20						80			21	1							500	1000	\settings\static_script\npc\init\qxt_fm.lua
QxLanGuai_8	0	0	0	1800000	10	17	10	10	604800	Ÿ¡ø‹1	ø’ ÷	4000	100	100	1000;2000	1000;2000			20		20	300	5	9	701	2	50	824	3	30	822	2	20						80			21	1							500	1000	\settings\static_script\npc\init\qxt_fm.lua
QxLanGuai_9	0	0	0	1800000	10	17	10	10	604800	µ∂æ¯	ø’ ÷	4000	100	100	1000;2000	1000;2000			20		20	300	5	9	701	2	50	826	1	30	827	2	20						80			21	1							500	1000	\settings\static_script\npc\init\qxt_fm.lua
QxLanGuai_10	0	0	0	1800000	10	17	10	10	604800	Ω£…∑	ø’ ÷	4000	100	100	1000;2000	1000;2000			20		20	300	5	9	701	2	50	822	2	30	825	1	20						80			21	1							500	1000	\settings\static_script\npc\init\qxt_fm.lua
QxXiaoBoss_1	0	0	0	2250000	10	17	10	10	604800	“Ï◊Âº˝ ÷	ø’ ÷	4000	100	100	1000;2000	1000;2000			10		10	600	5	9	705	2	50	30143	3	30	30144	4	20						83			18	1							500	1000	\settings\static_script\npc\init\qxt_xiaoboss.lua
QxXiaoBoss_2	0	0	0	2250000	15	17	10	10	604800	Õ‚◊Âπ≠ ÷	ø’ ÷	4000	100	100	1000;2000	1000;2000			10		10	600	5	9	705	2	50	30143	3	30	30145	4	20						83			18	1							500	1000	\settings\static_script\npc\init\qxt_xiaoboss.lua
QxXiaoBoss_3	0	0	0	2250000	15	17	10	10	604800	Ωº˝±¯	ø’ ÷	4000	100	100	1000;2000	1000;2000			10		10	600	5	9	705	2	50	30143	3	30	30146	4	20						83			18	1							500	1000	\settings\static_script\npc\init\qxt_xiaoboss.lua
QxXiaoBoss_4	0	0	0	2700000	15	17	10	10	604800	Ωµ∂±¯	ø’ ÷	4000	100	100	1500;2500	1500;2500			20		20	600	5	9	701	2	50	824	3	30	822	2	20						83			18	1							500	1000	\settings\static_script\npc\init\qxt_xiaoboss.lua
